category_en,category_he,diagnosis_type_en,diagnosis_type_he,difficulty_description_en,difficulty_description_he,difficulty_tags_en,recommendation_en,recommendation_he,explanation_en,explanation_he,example_en,example_he,contribution_en,contribution_he,source,-,example_is_array
Nutrition,תזונה,Combined,משולב,"Behavioral and emotional issues,
Difficulty concentrating, restlessness, forgetfulness
","קשיים התנהגותיים ורגשיים, מצבי רוח משתנים, התפרצויות,
קושי בריכוז, חוסר שקט, שכחנות","emotional_irritability_mgD, child_daytime_fatigue, child_memory_support_needed, focus_morning","Magnesium plus vitamin D supplementation reduced behavioral and emotional problems in children with ADHD.
 or Vitamin D alone","תוסף מגנזיום יחד עם ויטמין D הפחית קשיים התנהגותיים ורגשיים בילדים עם ADHD.
או ויטמין D לבדו","Magnesium
6 mg/kg/day magnesium

**The dosage and effects were studied in children with ADHD; however, the article does not provide precise details regarding the participants’ age or weight. The dosage was fixed for all participants, without adjustment for age or weight. Therefore, caution should be exercised when generalizing these findings to other populations.**

","מגנזיום 
6 מ""ג/לק""ג/ליום מגנזיום

**המינון וההשפעה נבדקו בילדים עם ADHD, אך המאמר אינו מספק פרטים מדויקים על גילם או משקלם של המשתתפים. המינון היה קבוע לכל המשתתפים, ללא התאמה לגיל או משקל. לפיכך, יש לנקוט זהירות בהכללת הממצאים לאוכלוסיות אחרות.**","Almonds, cashews, pumpkin seeds, sunflower seeds, spinach, Swiss chard, black beans, lentils, quinoa, oats, banana, avocado, tofu, whole grain bread, peas, hazelnuts, soybeans, mackerel, salmon, dark chocolate (over 70%), plain yogurt.","שקדים, אגוזי קשיו, גרעיני דלעת, גרעיני חמנייה, תרד, מנגולד, שעועית שחורה, עדשים, קינואה, שיבולת שועל, בננה, אבוקדו, טופו, דגנים מלאים (כמו לחם מחיטה מלאה), אפונה, אגוזי לוז, פולי סויה, דג מקרל, סלמון, שוקולד מריר (מעל 70%), יוגורט טבעי.","Reduces behavioral outbursts, improves mood, and stabilizes emotional regulation.","מפחית התפרצויות, משפר מצב רוח ומייצב ויסות רגשי.","Lange et al., 2023","טבלה של תוספים למגנזיום 
ויטמין D ",array
Nutrition,תזונה,Combined,משולב,"Behavioral and emotional issues,
Difficulty concentrating, restlessness, forgetfulness
","קשיים התנהגותיים ורגשיים, מצבי רוח משתנים, התפרצויות,
קושי בריכוז, חוסר שקט, שכחנות","emotional_irritability_mgD, child_daytime_fatigue, child_memory_support_needed, focus_morning","Magnesium plus vitamin D supplementation reduced behavioral and emotional problems in children with ADHD.
 or Vitamin D alone","תוסף מגנזיום יחד עם ויטמין D הפחית קשיים התנהגותיים ורגשיים בילדים עם ADHD.
או ויטמין D לבדו"," Vitamin D
50,000 IU/week Vitamin D

**The dosage and effects were studied in children with ADHD; however, the article does not provide precise details regarding the participants’ age or weight. The dosage was fixed for all participants, without adjustment for age or weight. Therefore, caution should be exercised when generalizing these findings to other populations.**

"," ויטמין D 
 50,000 יח""ל/שבוע ויטמין D

**המינון וההשפעה נבדקו בילדים עם ADHD, אך המאמר אינו מספק פרטים מדויקים על גילם או משקלם של המשתתפים. המינון היה קבוע לכל המשתתפים, ללא התאמה לגיל או משקל. לפיכך, יש לנקוט זהירות בהכללת הממצאים לאוכלוסיות אחרות.**","
Salmon, mackerel, tuna, sardines, cod, cod liver oil, egg yolk, vitamin D-fortified milk, fortified yogurt, fortified soy milk, fortified almond milk, sun-exposed mushrooms (such as portobello/shiitake), chicken liver, mozzarella cheese, cottage cheese.
Sun-exposed mushrooms, fortified soy milk, fortified almond milk, vitamin D-fortified breakfast cereals, fortified oat milk.

","
סלמון, מקרל, טונה, סרדינים, דג בקלה, שמן כבד דגים, חלמון ביצה, חלב מועשר בוויטמין D, יוגורט מועשר, משקה סויה מועשר, משקה שקדים מועשר, פטריות שחשפו אותן לשמש (כגון פורטובלו/שיטאקי), כבד עוף, גבינת מוצרלה, גבינת קוטג'.
פטריות שחשפו אותן לאור שמש, חלב סויה מועשר, חלב שקדים מועשר, דגני בוקר מועשרים בוויטמין D, משקה שיבולת שועל מועשר.","Reduces behavioral outbursts, improves mood, and stabilizes emotional regulation.","מפחית התפרצויות, משפר מצב רוח ומייצב ויסות רגשי.","Lange et al., 2023","טבלה של תוספים למגנזיום 
ויטמין D ",array
Nutrition,תזונה,"Hyperactivity,  impulsivity","היפראקטיביות , אימפולסיביות ","
Hyperactivity – restlessness and difficulty staying seated, the child is constantly moving, has trouble with quiet activities, and talks excessively.
Impulsivity – struggles to wait their turn, answers before questions are finished, tends to interrupt conversations or activities, and often acts without considering the consequences.","היפראקטיביות – תזוזתיות וקושי להישאר במקום, הילד כל הזמן נע, מתקשה להשתתף בפעילויות שקטות ומדבר הרבה.
אימפולסיביות – מתקשה לחכות לתורו, עונה לפני סיום השאלה, נוטה להתפרץ לשיחות או פעילויות ולעיתים פועל מבלי לחשוב על התוצאה.","child_daytime_fatigue, focus_morning","Zinc supplementation, alone or with medication, improved ADHD total score.","תוסף אבץ, לבד או בנוסף לטיפול תרופתי, שיפר את ציון ה-ADHD הכללי.","
Zinc:
10–40 mg/day, for 6–12 weeks

The dosage and effects were studied in children with ADHD; however, the article does not provide precise details regarding the participants’ age or weight. The dosage was fixed for all participants, without adjustment for age or weight. Therefore, caution should be exercised when generalizing these findings to other populations.

","אבץ: 
10–40 מ""ג/יום, למשך 6–12 שבועות

**המינון וההשפעה נבדקו בילדים עם ADHD, אך המאמר אינו מספק פרטים מדויקים על גילם או משקלם של המשתתפים. המינון היה קבוע לכל המשתתפים, ללא התאמה לגיל או משקל. לפיכך, יש לנקוט זהירות בהכללת הממצאים לאוכלוסיות אחרות.**","
Salmon, mackerel, tuna, sardines, cod, cod liver oil, egg yolk, vitamin D-fortified milk, fortified yogurt, fortified soy milk, fortified almond milk, sun-exposed mushrooms (such as portobello/shiitake), chicken liver, mozzarella cheese, cottage cheese, vitamin D-fortified breakfast cereals, fortified oat milk.

","
סלמון, מקרל, טונה, סרדינים, דג בקלה, שמן כבד דגים, חלמון ביצה, חלב מועשר בוויטמין D, יוגורט מועשר, משקה סויה מועשר, משקה שקדים מועשר, פטריות שחשפו אותן לשמש (כגון פורטובלו/שיטאקי), כבד עוף, גבינת מוצרלה, גבינת קוטג', דגני בוקר מועשרים בוויטמין D, משקה שיבולת שועל מועשר.","Zinc supplementation may reduce hyperactivity and impulsivity symptoms, especially in children with low zinc levels.
","לקיחת אבץ עשויה להפחית תסמיני היפראקטיביות ואימפולסיביות, במיוחד אצל ילדים עם רמות אבץ נמוכות.","Lange et al., 2023",טבלת תוספים אבץ ,array
Nutrition,תזונה,Inattention,חוסר קשב,"Difficulty maintaining attention, frequent distractibility and forgetfulness, and trouble following instructions or completing tasks.
","קושי להתרכז לאורך זמן, מוסחות ושכחה תכופה, קושי לעקוב אחר הוראות או לסיים משימות.","low_energy, child_daytime_fatigue, focus_morning, focus_morning","Iron supplement. 
Infant iron deficiency linked to later ADHD – nutritional monitoring recommended.","תוסף ברזל, מחסור בברזל בגיל הינקות קשור ל-ADHD בגיל מאוחר יותר – מומלץ לנטר ולתמוך תזונתית.","Iron: 
Not specified","ברזל: 
לא צוין מינון","
Beef, chicken, turkey, eggs, liver, sardines, tuna, salmon, lentils, chickpeas, beans (kidney/black/white), peas, tofu, tempeh, pumpkin seeds, sunflower seeds, quinoa, spinach, kale, Swiss chard, broccoli, whole wheat bread, oats, fortified breakfast cereals, dried apricots, raisins.

","
בקר, עוף, הודו, ביצים, כבד, סרדינים, טונה, סלמון, עדשים, חומוס, שעועית (אדומה/שחורה/לבנה), אפונה, טופו, טמפה, גרעיני דלעת, גרעיני חמנייה, קינואה, תרד, קייל, מנגולד, ברוקולי, לחם מחיטה מלאה, שיבולת שועל, דגני בוקר מועשרים, משמשים מיובשים, צימוקים.
","Iron supplementation may improve concentration, reduce distractibility, and help the child complete tasks.","לקיחת ברזל עשויה לשפר ריכוז, להפחית מוסחות ולעזור לילד להשלים משימות.","Lange et al., 2023",טבלת תוספים ברזל,array
Nutrition,תזונה,Inattention,חוסר קשב,"The child struggles to sustain focus, is easily distracted by environmental stimuli, forgets instructions, switches tasks frequently or fails to complete them. While some impulsive or hyperactive behaviors may occur, the primary challenge lies in maintaining attention and task persistence.

","הילד מתקשה להתמקד לאורך זמן, מוסח בקלות מגירויים סביבתיים, שוכח הוראות, מדלג בין משימות או מתקשה לסיים אותן. לעיתים מתלווה לכך תנועתיות או תגובות אימפולסיביות, אך עיקר הקושי הוא בשמירה על ריכוז והתמדה.","low_energy, child_memory_support_needed",Omega 3/6 fatty acids may benefit subgroups with deficiency.,חומצות שומן מסוג אומגה 3/6 עשויות להועיל לתת-קבוצות עם מחסור.,"Omega 3/6:
Variable dosage; 3–6 months

**The dosage and effects were studied in children with ADHD; however, the article does not provide precise details regarding the participants’ age or weight. The dosage was fixed for all participants, without adjustment for age or weight. Therefore, caution should be exercised when generalizing these findings to other populations.**

","אומגה 3/6: 
מינון משתנה; 3–6 חודשים

**המינון וההשפעה נבדקו בילדים עם ADHD, אך המאמר אינו מספק פרטים מדויקים על גילם או משקלם של המשתתפים. המינון היה קבוע לכל המשתתפים, ללא התאמה לגיל או משקל. לפיכך, יש לנקוט זהירות בהכללת הממצאים לאוכלוסיות אחרות.**","
Salmon, mackerel, sardines, herring, anchovies, tuna, walnuts, canola oil, soybean oil, omega-3-enriched eggs, fish oil supplements.
Flaxseeds, chia seeds, hemp seeds, tofu, edamame, algae oil supplements.

","סלמון, מקרל, סרדינים, הרינג, אנשובי, טונה, אגוזי מלך, שמן קנולה, שמן סויה, ביצים מועשרות באומגה 3, תוספי שמן דגים
זרעי פשתן, זרעי צ'יה, זרעי קנבוס, טופו, אדממה, תוספי שמן אצות
","Reduces hyperactivity and impulsivity, supports cognitive and behavioral control.",מפחית היפראקטיביות ואימפולסיביות ותורם לשליטה קוגניטיבית והתנהגותית.,"Lange et al., 2023",טבלת תוספים פרוביוטיקה,array
Nutrition,תזונה,"Hyperactivity,  impulsivity","היפראקטיביות , אימפולסיביות ","restlessness, impulsivity, emotional outbursts, and challenges with emotional regulation—typically seen in children who are constantly moving, have trouble calming down, react intensely, and act without thinking. Occasionally, especially during periods of stress or anxiety, physical complaints such as stomach aches may also occur, though these are not core symptoms of ADHD.
Attention difficulties, decreased memory, challenges with emotional regulation, anxiety","חוסר שקט, אימפולסיביות, התפרצויות רגשיות וקשיים בוויסות רגשי — המתבטאים בילדים שמרבים לזוז, מתקשים להירגע, מגיבים בעוצמה רגשית ופועלים ללא מחשבה. לעיתים, במיוחד במצבי לחץ או חרדה, עשויים להופיע גם תלונות גופניות כגון כאבי בטן, אך אלו אינם תסמין מרכזי של ADHD.
קשיי קשב, ירידה בזיכרון, קושי בוויסות רגשי, חרדה",emotional_dysregulation_relax,"multi-strain probiotic supplement may be considered for 8–12 weeks as supportive therapy for children with ADHD, particularly when restlessness, impulsivity, and difficulties with emotional regulation are prominent. Consultation with a physician is recommended before starting supplementation","ניתן לשקול מתן תוסף פרוביוטיקה רב-זנית לתקופה של 8–12 שבועות כטיפול תומך בילדים עם ADHD, במיוחד כאשר בולטים חוסר שקט, אימפולסיביות וקשיים בוויסות רגשי. מומלץ להתייעץ עם רופא לפני תחילת השימוש","Probiotic:
3 months

**The dosage and effects were studied in children with ADHD; however, the article does not provide precise details regarding the participants’ age or weight. The dosage was fixed for all participants, without adjustment for age or weight. Therefore, caution should be exercised when generalizing these findings to other populations.**

","פרוביוטיקה 
3 חודשים

**המינון וההשפעה נבדקו בילדים עם ADHD, אך המאמר אינו מספק פרטים מדויקים על גילם או משקלם של המשתתפים. המינון היה קבוע לכל המשתתפים, ללא התאמה לגיל או משקל. לפיכך, יש לנקוט זהירות בהכללת הממצאים לאוכלוסיות אחרות.**","
Yogurt with live cultures, kefir, aged cheeses, fermented pickles, sauerkraut, kimchi, kombucha, fortified probiotic drinks, probiotic supplements, tempeh, miso, fermented tofu.","
יוגורט עם חיידקים פעילים, קפיר, גבינות בשלות, חמוצים מותססים טבעית, כרוב כבוש, קימצ'י, קומבוצ'ה, משקאות פרוביוטיים מועשרים, תוספי פרוביוטיקה, טמפה, מיסו, טופו מותסס.","Probiotics may reduce restlessness, temper outbursts, impulsivity, and anxiety symptoms in children with ADHD, mainly by improving gut flora, enhancing emotional regulation, and reducing inflammatory processes in the body.","פרוביוטיקה עשויה להפחית חוסר שקט, התפרצויות זעם, אימפולסיביות ותסמיני חרדה בילדים עם ADHD, בעיקר על ידי שיפור פלורת המעי, וויסות רגשי והפחתת תהליכים דלקתיים בגוף.","Lange et al., 2023",,array
Nutrition,תזונה,Combined,משולב,"poor concentration and emotional dysregulation
The child shows persistent difficulty with attention, is easily distracted, has trouble completing tasks, and tends to react impulsively or with emotional outbursts. These challenges interfere with academic progress, peer interactions, and self-esteem.


","הילד סובל מקושי מתמשך בריכוז, מוסח בקלות, מתקשה להשלים משימות, ולצד זאת מגיב לעיתים בהתפרצויות רגשיות או התנהגות אימפולסיבית. הקושי משפיע הן על למידה שוטפת והן על יחסים חברתיים ותחושת מסוגלות עצמית.","task_completion_difficulty, environmental_distraction",Few-Foods diet improved symptoms in 60% of children.,דיאטת אלימינציה (Few-Foods) שיפרה תסמינים בקרב 60% מהילדים.,"Few-Foods Diet: 
4 weeks + reintroduction phase","דיאטת מעט-מאכלים:
4 שבועות + שלב החזרה הדרגתית של מאכלים","Few-Foods Diet (Elimination Diet):
(There is no fixed list—the diet is individually tailored and based on a few “safe” foods according to the child’s tolerance. Common examples:)
Rice, potato, chicken, lamb, pear, banana, zucchini, lettuce, water

Common substitutes (according to tolerance):
Quinoa, apple, pumpkin, broccoli, salmon, egg (if permitted), low-allergen rye bread
","דיאטת מעט-מאכלים (Few-Foods Diet):
(לא קיימת רשימה אחידה, כי התפריט מותאם אישית ונבנה סביב מעט מאכלים ""בטוחים"" לפי סבילות הילד. דוגמאות נפוצות:)
אורז, תפוח אדמה, עוף, טלה, אגס, בננה, קישוא, חסה, מים

תחליפים נפוצים לפי סבילות:
קינואה, תפוח, דלעת, ברוקולי, דג סלמון, ביצה (אם מאושרת בתפריט), לחם שיפון דל אלרגנים",Reduces behavioral outbursts and improves attention in sensitive children.,מפחית התפרצויות ומשפר ריכוז בילדים רגישים.,"Lange et al., 2023",,text
Nutrition,תזונה,Combined,משולב," hyperactivity, emotional reactivity, and inattention
The child exhibits excessive motor activity and emotional sensitivity, struggles with self-regulation, and shows signs of inattention such as distractibility and poor task persistence. These combined symptoms affect classroom behavior, peer relationships, and daily functioning.

","הילד מפגין פעילות יתר, קושי לשבת במקום, תנודות רגשיות כמו עצבנות או תסכול, ורגישות למצבים חברתיים או לימודיים. הקשיים כוללים גם בעיות קשב והסחות דעת תכופות. התמונה המשולבת פוגעת ביכולת להתארגן, לשלוט בהתנהגות, ולהשתלב חברתית.",focus_morning,"DASH diet improved behavior, social and emotional symptoms.

The DASH diet (Dietary Approaches to Stop Hypertension) is a dietary plan originally developed to prevent and manage high blood pressure. It emphasizes plenty of vegetables, fruits, whole grains, low-fat dairy products, lean proteins (like fish, poultry, and legumes), nuts, and seeds, while limiting salt, sugar, processed foods, and saturated fat. DASH is recommended for overall health and especially for managing hypertension.
","דיאטת DASH שיפרה התנהגות, סימפטומים חברתיים ורגשיים.

דיאטת DASH היא תפריט מגוון ובריא, שמדגיש מזון לא מעובד, ירקות, פירות, מוצרי חלב דלי שומן, דגנים מלאים, הפחתת מלח, שומן רווי וסוכר – ומומלצת במיוחד למניעת ולשליטה בלחץ דם גבוה.","DASH diet: 
12 weeks","דיאטת DASH 
12 שבועות","
Fresh vegetables, fresh fruits, whole grains (whole wheat bread/brown rice/quinoa/oats), low-fat dairy products (yogurt/white cheese/milk), fish, skinless chicken, legumes (lentils/beans/chickpeas/peas), nuts (almonds/walnuts/cashews), olive oil, avocado, fortified soy/almond/oat drink, tofu, legumes

","ירקות טריים, פירות טריים, דגנים מלאים (לחם מלא/אורז מלא/קינואה/שיבולת שועל), מוצרי חלב דלי שומן (יוגורט/גבינה לבנה/חלב), דגים, עוף ללא עור, קטניות (עדשים/שעועית/חומוס/אפונה), אגוזים (שקדים/אגוזי מלך/קשיו), שמן זית, אבוקדו, משקה סויה/שקדים/שיבולת שועל מועשר, טופו, קטניות","Improves emotional regulation, reduces hyperactivity, and supports social adjustment.","משפר ויסות רגשי, מפחית היפראקטיביות ותורם להסתגלות חברתית.","Lange et al., 2023",,array
Nutrition,תזונה,Combined,משולב,"Worsening inattention, hyperactivity, impulsivity, mood swings, and fatigue—especially in children who frequently consume processed foods, snacks, and sweets.	","החמרה בתסמיני קשב, חוסר שקט, אימפולסיביות, תנודות חדות במצבי רוח ועייפות או ירידה בריכוז, בעיקר אצל ילדים שצורכים הרבה מזון מעובד, חטיפים וממתקים.","post_snack_behavioral_change, post_meal_fatigue_focus_drop","
Studies indicate that a diet high in junk food—meaning processed foods rich in sugar, saturated fat, and salt—may worsen ADHD symptoms. A Western dietary pattern has been linked to increased hyperactivity, impulsivity, and inattention, especially among children and adolescents. The recommendation is to minimize the consumption of processed foods and prioritize a varied, healthy diet.

","מחקרים מצביעים על כך שתזונה עתירת ג'אנק פוד—כלומר מזון מעובד, עשיר בסוכר, שומן רווי, ומלח—עשויה להחמיר תסמיני ADHD. דפוס תזונה מערבי נקשר לעלייה בהיפראקטיביות, אימפולסיביות, וחוסר קשב, במיוחד אצל ילדים ובני נוער. ההמלצה היא להפחית ככל האפשר בצריכת מזון מעובד לטובת תזונה מגוונת ובריאה.","Western diet/junk food:
Avoid or limit intake

Sugar, fried food, salt:
Limit intake

**The recommendation is based on observational studies showing a correlation between a Western diet rich in processed foods, sugar, and saturated fat and a worsening of ADHD symptoms. No specific dosage was tested— the recommendation is to limit intake as much as possible.
(Pinto et al., 2022)**","תזונת מערבית/ג'אנק פוד: 
להימנע או להגביל צריכה .

סוכר, מזון מטוגן, מלח: 
להגביל צריכה

**ההמלצה להגביל צריכת סוכר, מזון מטוגן ומלוח מבוססת על קשר שנמצא בין צריכה גבוהה של רכיבים אלו לבין החמרה בתסמיני קשב וריכוז. אין כמות יומית מומלצת – ההמלצה היא לצמצם ככל האפשר.
(Pinto et al., 2022)**","
Fast food (pizza/hamburger/processed schnitzel/hot dogs), salty snacks (Bamba/Bissli/chips), industrial cakes and cookies, candies, sweetened beverages, sweetened breakfast cereals, roasted salted nuts, industrial pastries, frozen processed foods (pizzas/ready-made schnitzels), fried foods (chips/schnitzel), white sugar, brown sugar, chocolates, jams, ice cream, pickled products, canned foods high in salt.

","
